Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth,Session
a,a2305,1.0,DCE,5281.0,5289.0,5255.0,5258.0,66811,3521666470,121843,5271.0,0.12,0.12,6,10,1.0,20230517,5672.0,4832.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
ag,ag2302,1.0,SHFE,5171.0,5252.0,5156.0,5239.0,281584,21964648545,116412,5200.0,0.12,0.12,3,15,1.0,20230215,5729.0,4688.0,20220216,202302,210000-023000;090000-101500;103000-113000;133000-150000
al,al2302,1.0,SHFE,18160.0,18320.0,18160.0,18245.0,146907,13396427900,129056,18235.0,0.12,0.12,4,5,5.0,20230215,19955.0,16330.0,20220216,202302,210000-010000;090000-101500;103000-113000;133000-150000
AP,AP305,1.0,CZCE,8482.0,8519.0,8407.0,8475.0,106146,897358284,192609,8454.0,0.1,0.1,2,10,1.0,20230517,9176.0,7660.0,20220519,202305,090000-101500;103000-113000;133000-150000
au,au2304,1.0,SHFE,413.78,415.18,413.5,414.8,89422,37050062840,167599,414.32,0.1,0.1,3,1000,0.02,20230417,446.36,380.22,20220316,202304,210000-023000;090000-101500;103000-113000;133000-150000
b,b2302,1.0,DCE,4935.0,4971.0,4920.0,4957.0,36370,1797087990,26393,4941.0,0.09,0.09,6,10,1.0,20230214,5379.0,4583.0,20220221,202302,210000-230000;090000-101500;103000-113000;133000-150000
bb,bb2301,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230116,440.0,360.0,20220118,202301,090000-101500;103000-113000;133000-150000
bc,bc2303,1.0,SHFE,59570.0,61090.0,59570.0,61010.0,13020,3934405250,16281,60430.0,0.12,0.12,4,5,10.0,20230315,65430.0,53540.0,20220316,202303,210000-010000;090000-101500;103000-113000;133000-150000
bu,bu2306,1.0,SHFE,3700.0,3737.0,3670.0,3737.0,197434,7304732740,367086,3699.0,0.15,0.15,6,10,1.0,20230615,4194.0,3229.0,20210616,202306,210000-230000;090000-101500;103000-113000;133000-150000
c,c2303,1.0,DCE,2874.0,2876.0,2854.0,2873.0,296631,8504822060,751365,2867.0,0.12,0.12,6,10,1.0,20230314,3100.0,2642.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
CF,CF305,1.0,CZCE,14460.0,14475.0,14410.0,14420.0,280367,4051303150,768736,14450.0,0.07,0.07,6,5,5.0,20230517,15300.0,13560.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
CJ,CJ305,1.0,CZCE,10355.0,10395.0,10210.0,10215.0,21743,223300610,45281,10270.0,0.12,0.12,2,5,5.0,20230517,11395.0,9315.0,20220519,202305,090000-101500;103000-113000;133000-150000
cs,cs2303,1.0,DCE,3020.0,3020.0,2989.0,3010.0,113897,3423176450,144224,3005.0,0.09,0.09,6,10,1.0,20230314,3238.0,2816.0,20220315,202303,210000-230000;090000-101500;103000-113000;133000-150000
cu,cu2303,1.0,SHFE,66860.0,68020.0,66700.0,68000.0,95788,32291814950,189204,67420.0,0.12,0.12,4,5,10.0,20230315,73190.0,59880.0,20220316,202303,210000-010000;090000-101500;103000-113000;133000-150000
CY,CY305,1.0,CZCE,22160.0,22270.0,22160.0,22225.0,2102,46695930,4189,22215.0,0.07,0.07,6,5,5.0,20230517,23570.0,20900.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
eb,eb2302,1.0,DCE,8228.0,8490.0,8151.0,8468.0,282066,11760600215,139644,8338.0,0.12,0.12,6,5,1.0,20230223,9056.0,7410.0,20220224,202302,210000-230000;090000-101500;103000-113000;133000-150000
eg,eg2305,1.0,DCE,4211.0,4296.0,4200.0,4280.0,350532,14898729710,358746,4250.0,0.12,0.12,6,10,1.0,20230526,4578.0,3746.0,20220527,202305,210000-230000;090000-101500;103000-113000;133000-150000
fb,fb2303,1.0,DCE,1264.5,1275.0,1263.5,1268.5,1344,17042340,1439,1268.0,0.1,0.1,2,10,0.5,20230314,1332.5,1206.5,20220315,202303,090000-101500;103000-113000;133000-150000
FG,FG305,1.0,CZCE,1654.0,1684.0,1649.0,1679.0,619716,1031207424,779469,1664.0,0.09,0.09,6,20,1.0,20230517,1800.0,1532.0,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
fu,fu2305,1.0,SHFE,2543.0,2546.0,2515.0,2526.0,603814,15280573590,506875,2530.0,0.15,0.15,6,10,1.0,20230428,2860.0,2201.0,20220505,202305,210000-230000;090000-101500;103000-113000;133000-150000
hc,hc2305,1.0,SHFE,4152.0,4198.0,4141.0,4193.0,284260,11865663580,816512,4174.0,0.13,0.13,6,10,1.0,20230515,4614.0,3699.0,20220517,202305,210000-230000;090000-101500;103000-113000;133000-150000
i,i2305,1.0,DCE,842.0,852.5,835.0,847.5,554600,46822082900,901895,844.0,0.13,0.13,6,100,0.5,20230517,925.5,742.5,20220519,202305,210000-230000;090000-101500;103000-113000;133000-150000
IC,IC2301,1.0,CFFEX,6050.2,6080.0,6013.0,6025.2,38639,46707616760,76769,6027.0,0.14,0.14,11,200,0.2,20230120,6660.0,5449.2,20221121,202301,093000-113000;130000-150000
