Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth
a,a2305,1.0,DCE,5554.0,5561.0,5500.0,5548.0,124415,6884566500,153466,5533.0,0.12,0.12,6,10,1.0,20230517,6018.0,5128.0,20220519,202305
ag,ag2306,1.0,SHFE,4890.0,4942.0,4878.0,4931.0,586635,43188305910,622189,4908.0,0.12,0.12,3,15,1.0,20230615,5404.0,4421.0,20220616,202306
al,al2304,1.0,SHFE,18600.0,18795.0,18535.0,18775.0,147597,13769369975,195843,18655.0,0.12,0.12,4,5,5.0,20230417,20530.0,16795.0,20220418,202304
AP,AP305,1.0,CZCE,9133.0,9190.0,9032.0,9054.0,175814,1604478564,214139,9126.0,0.1,0.1,2,10,1.0,20230517,9971.0,8323.0,20220519,202305
au,au2304,1.0,SHFE,413.84,415.7,413.78,415.58,68066,28228101860,66796,414.7,0.1,0.1,3,1000,0.02,20230417,446.26,380.16,20220316,202304
b,b2304,1.0,DCE,4552.0,4575.0,4522.0,4567.0,51586,2347624920,42364,4550.0,0.09,0.09,6,10,1.0,20230417,4912.0,4186.0,20220419,202304
bb,bb2303,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230314,440.0,360.0,20220315,202303
bc,bc2305,1.0,SHFE,61750.0,62400.0,61560.0,62400.0,10025,3104560250,13327,61930.0,0.12,0.12,4,5,10.0,20230515,68810.0,56300.0,20220517,202305
bu,bu2306,1.0,SHFE,3875.0,3942.0,3861.0,3936.0,307135,11976959500,379682,3899.0,0.15,0.15,6,10,1.0,20230615,4326.0,3331.0,20210616,202306
c,c2305,1.0,DCE,2846.0,2851.0,2837.0,2838.0,184868,5254382240,648160,2842.0,0.12,0.12,6,10,1.0,20230517,3073.0,2619.0,20220519,202305
